Trip_ID,Harsh_Acceleration_Count,Harsh_Braking_Count,Sudden_Turn_Count,High_Speed_Count,Avg_Speed,Max_Speed,Avg_Acceleration,Max_Acceleration,Avg_Gyro,Max_Gyro,Driver_ID,Vehicle_ID,Trip_Date,Duration_Min,Distance_KM,Avg_Speed_kmph,Max_Speed_kmph,Risk_Events,Risk_Events_Per_10_Min
T00069,0,0,0,0,19.18888888888889,24.7,1.0365642063486524,1.6290936130253535,3.065690045056091,8.825893722451001,D05,V05,2026-08-02,27,19.08,19.2,24.7,0,0.0
T00070,0,0,2,0,20.47948717948718,29.7,1.0260591961001397,1.662805761356389,5.387783687293084,41.575634691487274,D05,V05,2026-08-05,39,19.7,20.5,29.7,2,0.5128205128205128
T00071,0,0,0,0,18.400000000000002,25.2,1.0210764128012992,1.4204689366543712,3.340112135774505,7.184712937898077,D05,V05,2026-08-01,27,10.77,18.4,25.2,0,0.0
T00072,0,0,0,0,17.857692307692307,25.7,1.020473569284318,1.5302787327804044,3.302781374904174,9.94247957000667,D05,V05,2026-08-03,26,19.89,17.9,25.7,0,0.0
T00073,0,0,0,0,19.286363636363635,25.9,1.0112440846329767,1.0697915684842538,4.253138089280801,28.816347790794033,D05,V05,2026-08-04,22,13.51,19.3,25.9,0,0.0
T00074,0,0,0,0,26.625,35.0,0.9979107559028261,1.0384685840216834,3.271848171590875,6.877354142400986,D05,V05,2026-08-06,12,7.0,26.6,35.0,0,0.0
T00075,0,0,0,0,20.01219512195122,30.2,1.02095521633655,1.4621347407130438,4.047137206089603,26.334390063185438,D05,V05,2026-08-05,41,19.37,20.0,30.2,0,0.0
T00076,2,1,0,1,21.757894736842108,52.7,1.0240979528914387,1.1748757381102053,4.654789315698771,27.104228452402033,D06,V06,2026-08-04,19,9.64,21.8,52.7,4,2.1052631578947367
T00077,6,4,2,4,23.031578947368423,51.3,1.0203689651287646,1.1849881855951139,4.331937101986466,46.387302141857745,D06,V06,2026-08-01,38,14.71,23.0,51.3,16,4.2105263157894735
T00078,3,4,0,4,28.45,70.0,1.0229275085024327,1.174471796170517,4.278891346111256,32.88897383622663,D06,V06,2026-08-05,30,16.2,28.4,70.0,11,3.6666666666666665
T00079,3,3,0,2,26.11875,58.1,1.0286322431910102,1.283590277308145,4.096882689828629,27.24945137062396,D06,V06,2026-08-03,16,10.56,26.1,58.1,8,5.0
T00080,3,3,2,2,17.73,54.4,1.0243562297424504,1.2480360571714264,5.165477695759958,50.330785807495594,D06,V06,2026-08-02,40,3.39,17.7,54.4,10,2.5
T00081,6,7,4,6,25.672222222222224,58.3,1.0199149110936832,1.1809695169647692,6.22075536139749,44.10781903472444,D06,V06,2026-07-31,36,12.28,25.7,58.3,23,6.388888888888888
T00082,6,9,4,8,24.934883720930234,55.3,1.0239017089928468,1.269501083103122,5.913722134257785,47.46721500151447,D06,V06,2026-08-04,43,13.82,24.9,55.3,27,6.279069767441861
T00083,3,1,6,4,23.333333333333332,48.7,1.009313640640437,1.223792874631978,6.946169050339105,47.700411947906694,D06,V06,2026-08-05,36,17.44,23.3,48.7,14,3.888888888888889
T00084,3,1,0,3,24.25,48.2,1.0102770525026028,1.2353420578932783,4.187228937867522,34.64974891683921,D06,V06,2026-08-06,40,10.42,24.3,48.2,7,1.75
T00085,1,1,4,1,25.380000000000003,49.3,1.0148498225380158,1.0822333389800924,9.969676260288539,54.20178687091414,D06,V06,2026-08-03,20,11.43,25.4,49.3,7,3.5
T00086,2,2,0,10,36.43181818181818,61.3,1.0251965873987423,1.1932744864447575,4.214988059256662,28.04889659148823,D06,V06,2026-08-04,22,12.86,36.4,61.3,14,6.363636363636363
T00087,3,2,7,3,25.522222222222222,49.6,1.014609865373628,1.3727647285678635,7.685404472299818,53.746975728872414,D06,V06,2026-08-05,36,17.77,25.5,49.6,15,4.166666666666667
T00088,7,4,4,9,27.93095238095238,73.6,1.040111636777886,1.2779319230694568,5.689427488842865,50.149650048629454,D06,V06,2026-08-01,42,18.52,27.9,73.6,24,5.7142857142857135
T00089,7,5,0,15,35.81578947368421,63.4,1.0278321061300446,1.2323656113345585,3.9218063830188328,29.998189945395037,D06,V06,2026-08-06,38,17.55,35.8,63.4,27,7.105263157894736
T00090,2,1,2,1,17.357142857142858,44.2,1.0285850977133126,1.1199299085210646,5.8081321262382515,47.54245050478572,D06,V06,2026-08-04,14,26.46,17.4,44.2,6,4.285714285714286
T00091,0,1,2,0,16.213636363636365,34.5,1.021189165512249,1.2365193083813937,4.076777865927507,39.47117175863924,D07,V07,2026-08-02,44,10.44,16.2,34.5,3,0.6818181818181818
T00092,1,1,2,3,30.931707317073172,44.8,1.025752564143854,1.4930766892561147,5.551050069811775,41.94645873014789,D07,V07,2026-08-05,41,16.75,30.9,44.8,7,1.707317073170732
T00093,0,1,2,0,17.396875,30.8,1.002345252490736,1.0891749170817329,5.261842288252251,45.618935761369976,D07,V07,2026-08-03,32,19.64,17.4,30.8,3,0.9375
T00094,2,4,0,5,28.51590909090909,48.6,1.0169094252851119,1.2629069641109751,3.185082905279165,7.175994704568838,D07,V07,2026-08-04,44,25.77,28.5,48.6,11,2.5
T00095,0,0,2,0,18.07857142857143,32.4,1.0447879479400857,1.4822334498991716,5.043040248442078,43.17605818043143,D07,V07,2026-07-31,42,19.42,18.1,32.4,2,0.47619047619047616
T00096,0,1,0,1,31.25625,43.8,1.0057948292857546,1.049459861071399,2.928727891764805,4.917946726022965,D07,V07,2026-08-01,16,6.28,31.3,43.8,2,1.25
T00097,0,0,2,0,21.9625,33.5,1.004987534016961,1.049341221910204,6.782623759760618,53.00963025715233,D07,V07,2026-08-04,16,9.24,22.0,33.5,2,1.25
T00098,2,1,2,0,27.629032258064516,39.9,1.0127103427892237,1.0766652218772557,5.922099918342183,53.351924051527895,D07,V07,2026-08-06,31,9.44,27.6,39.9,5,1.6129032258064515
T00099,0,0,0,5,33.71111111111111,47.6,1.0076250380373584,1.129876099402054,2.725570181041415,4.971820592097024,D07,V07,2026-07-31,18,10.56,33.7,47.6,5,2.7777777777777777
T00100,3,4,2,1,28.35,45.7,1.0144356965176695,1.118700585500875,4.2263465413799315,48.65059609090108,D07,V07,2026-08-05,42,12.41,28.4,45.7,10,2.380952380952381
T00101,2,3,2,1,27.148000000000003,44.1,1.0082974892250343,1.1010885522972256,4.386377746856946,38.78967130564527,D07,V07,2026-08-04,25,14.96,27.1,44.1,8,3.2
T00102,3,2,0,3,28.53,54.4,0.9976887491984876,1.0580373339348663,3.301551005186181,6.167017107159667,D07,V07,2026-08-02,20,11.13,28.5,54.4,8,4.0
T00103,1,1,2,5,30.180555555555557,47.4,1.0138287141489377,1.1173746014654173,4.5440086697518085,46.792783631666964,D07,V07,2026-08-01,36,23.1,30.2,47.4,9,2.5
T00104,0,0,2,0,22.01875,34.0,1.0093591234192152,1.1228570701563045,6.246101217713312,51.983294431961504,D07,V07,2026-08-05,16,11.59,22.0,34.0,2,1.25
T00105,0,0,6,0,17.22820512820513,35.0,1.020325352074397,1.2065740756372978,5.8927602341933145,41.07574101583561,D07,V07,2026-08-04,39,16.29,17.2,35.0,6,1.5384615384615385
T00106,1,1,2,1,26.532432432432433,46.3,1.0250274493538702,1.2355974263488898,4.190319786793029,50.01899039364949,D08,V08,2026-08-01,37,10.51,26.5,46.3,5,1.3513513513513513
T00107,0,2,0,2,25.278787878787877,46.0,0.9945281448149799,1.0478821498622828,4.15737992935431,27.547206754950675,D08,V08,2026-08-04,33,18.92,25.3,46.0,4,1.2121212121212122
T00108,2,1,0,0,21.869230769230768,36.9,1.001240347832276,1.1488089484331152,3.3713381556827167,6.149447129620679,D08,V08,2026-08-03,39,21.96,21.9,36.9,3,0.7692307692307693
T00109,1,1,0,3,29.314999999999998,48.0,0.9981045867437359,1.0868606166385826,2.7637064450167914,5.565689534999235,D08,V08,2026-08-01,20,5.66,29.3,48.0,5,2.5
T00110,0,0,2,0,20.532258064516128,36.4,1.0298553126311611,1.4737482824417474,4.950029535615533,42.00757193649735,D08,V08,2026-08-05,31,9.94,20.5,36.4,2,0.6451612903225806
T00111,1,1,4,0,18.787804878048778,34.4,1.0274407723336973,1.7511827431767364,5.379967835471613,52.290291641948215,D08,V08,2026-08-02,41,12.96,18.8,34.4,6,1.4634146341463414
T00112,1,1,0,0,29.04375,39.8,1.016088355111629,1.1477460520515852,5.387318573908213,31.94088289324514,D08,V08,2026-08-02,16,8.37,29.0,39.8,2,1.25
T00113,2,1,4,0,18.506666666666664,36.9,1.015308849919457,1.1829057443431408,4.7553809934931985,43.38193863810145,D08,V08,2026-08-04,45,29.76,18.5,36.9,7,1.5555555555555556
T00114,1,1,4,0,20.302500000000002,40.3,1.02732308876251,1.2003720256653767,5.066354514738181,50.244523084610925,D08,V08,2026-08-03,40,14.46,20.3,40.3,6,1.5
T00115,1,1,0,0,24.936363636363637,40.4,1.0132915814843957,1.1742389024385114,2.9619384035589316,4.550450527145636,D08,V08,2026-08-05,11,8.99,24.9,40.4,2,1.8181818181818183
T00116,0,0,0,0,25.78,39.8,0.9997422955610119,1.0935648128940507,2.951620993825745,7.75881434241083,D08,V08,2026-08-05,20,19.44,25.8,39.8,0,0.0
T00117,3,2,0,6,29.64358974358974,56.3,1.0204985375130593,1.5644890539725742,4.090166023614303,28.07796645058185,D08,V08,2026-07-31,39,16.03,29.6,56.3,11,2.8205128205128203
T00118,1,0,0,0,26.55625,36.6,1.009430274269347,1.0953597582529677,5.175785282588521,33.9751806470547,D08,V08,2026-08-01,16,11.92,26.6,36.6,1,0.625
T00119,1,1,2,1,27.622857142857143,47.3,1.0481012410773327,1.7833984411790877,4.876679724760782,39.27217590101164,D08,V08,2026-08-06,35,12.23,27.6,47.3,5,1.4285714285714284
T00120,1,1,4,3,24.444186046511625,45.2,1.0146393896892052,1.2034288512413187,4.838298969283347,45.020547531099616,D08,V08,2026-08-03,43,13.03,24.4,45.2,9,2.0930232558139537
T00121,0,1,0,0,23.523076923076925,29.4,1.0176065521836457,1.0740633128451973,3.0053928766072766,5.340880077290633,D09,V09,2026-08-04,13,12.7,23.5,29.4,1,0.7692307692307693
T00122,1,0,0,0,29.6,38.7,1.0204179840149743,1.0557182389255193,2.9219195319688627,4.546713098492141,D09,V09,2026-08-05,11,5.1,29.6,38.7,1,0.9090909090909092
T00123,0,1,0,0,20.734883720930235,31.0,1.0000781431078722,1.1365606011119689,3.5328331283721903,24.680719195355714,D09,V09,2026-08-01,43,18.24,20.7,31.0,1,0.23255813953488372
T00124,0,0,0,0,21.615384615384617,30.0,1.0123140565888546,1.3764737556524644,3.212176179305433,7.544063891564015,D09,V09,2026-08-05,13,10.78,21.6,30.0,0,0.0
T00125,0,0,0,0,23.228571428571428,30.4,1.0166023124160621,1.0734961574220934,3.3878693865658738,5.714840330227958,D09,V09,2026-08-01,14,6.35,23.2,30.4,0,0.0
T00126,1,0,0,0,19.905128205128204,31.7,1.0153011598287631,1.2225256643522866,3.0531734367504484,6.727332309318456,D09,V09,2026-08-04,39,25.93,19.9,31.7,1,0.2564102564102564
T00127,0,0,0,0,24.096153846153847,34.7,1.0055694930460615,1.1713411117176755,3.2397027096945807,5.854434216899187,D09,V09,2026-08-05,26,17.56,24.1,34.7,0,0.0
T00128,0,0,0,0,31.0,38.4,0.9986484493216631,1.0656293914865524,3.366624237607061,6.619410849917084,D09,V09,2026-08-06,25,16.75,31.0,38.4,0,0.0
T00129,2,1,0,0,27.697058823529414,38.7,1.0296183209756389,1.7604158599603674,3.400498784193315,6.863774471819423,D09,V09,2026-08-02,34,26.33,27.7,38.7,3,0.8823529411764707
T00130,3,2,0,0,27.84333333333333,39.4,0.9996380609265859,1.0383823958446137,2.9344954521905326,5.303319715046416,D09,V09,2026-08-04,30,21.87,27.8,39.4,5,1.6666666666666665
T00131,1,0,2,0,24.18235294117647,30.0,1.0116326606885848,1.1827269338270774,4.614326337207261,52.66760294526418,D09,V09,2026-08-01,34,12.8,24.2,30.0,3,0.8823529411764707
T00132,2,1,1,0,30.997368421052634,40.7,0.9980431687167156,1.0938272258451058,3.9906929882100344,34.49132934521371,D09,V09,2026-08-03,38,17.92,31.0,40.7,4,1.0526315789473684
T00133,0,0,0,0,23.361538461538462,32.5,1.0048810508404284,1.0816644581384747,3.377356382251502,5.7788666708966385,D09,V09,2026-08-01,13,8.4,23.4,32.5,0,0.0
T00134,2,1,0,0,28.565853658536586,39.5,1.0188851986527563,1.254005582124737,2.946829259181044,5.9020335478545025,D09,V09,2026-08-02,41,26.77,28.6,39.5,3,0.7317073170731707
T00135,1,2,0,0,29.272727272727273,38.0,1.0178070930461154,1.470599877600974,4.959813023935224,30.251386745073358,D09,V09,2026-08-06,22,12.36,29.3,38.0,3,1.3636363636363635
T00136,1,1,0,0,21.48108108108108,38.9,1.0410778762570976,1.4970437535356138,3.4021798712711115,13.100877833183548,D10,V10,2026-08-02,37,18.61,21.5,38.9,2,0.5405405405405406
T00137,1,0,2,0,17.845238095238095,39.7,1.050914578982218,1.660102406479793,4.7245842606603174,55.000745449493685,D10,V10,2026-08-03,42,21.89,17.8,39.7,3,0.7142857142857142
T00138,1,2,0,0,16.851282051282052,34.8,1.0076694712601584,1.10974771907853,3.0950756144914076,6.272296230249333,D10,V10,2026-08-01,39,25.16,16.9,34.8,3,0.7692307692307693
T00139,0,0,0,0,21.18,31.6,1.0237484819034897,1.2629948535128717,3.149178077653967,6.398601409683213,D10,V10,2026-08-05,15,7.31,21.2,31.6,0,0.0
T00140,0,0,2,0,20.515384615384615,36.6,1.0126904410946982,1.0849428556380285,6.752270579899447,48.8727296147862,D10,V10,2026-08-01,13,5.75,20.5,36.6,2,1.5384615384615385
T00141,3,1,0,0,19.799999999999997,38.4,1.0041790496136704,1.0878837254045122,3.404122210871658,6.867466781863601,D10,V10,2026-08-03,26,16.08,19.8,38.4,4,1.5384615384615385
T00142,0,0,0,0,19.13,33.8,1.0828785024482055,1.78816833659474,4.451644089277311,17.967250763541983,D10,V10,2026-08-01,30,11.83,19.1,33.8,0,0.0
T00143,1,1,2,0,23.2375,38.2,1.0263993285056086,1.6612408013289344,4.791673114457237,49.87599623065188,D10,V10,2026-08-06,40,18.61,23.2,38.2,4,1.0
T00144,0,0,6,0,16.905,34.2,1.0423296563580382,1.613270591066483,7.129098904547412,51.29644627067259,D10,V10,2026-08-01,40,5.92,16.9,34.2,6,1.5
T00145,0,1,0,0,21.105555555555554,41.0,1.010941245749778,1.1086054302591162,4.1906855260029126,31.294144819758216,D10,V10,2026-08-04,36,8.56,21.1,41.0,1,0.2777777777777778
